model_type,use_dropout,epoch,loss,accuracy,val_loss,val_accuracy,duration,learning_rate
MobileNetV1,False,14,0.10367896407842636,0.9564732313156128,0.09352857619524002,0.9553571343421936,1522.65,0.00020000000949949026
MobileNetV1,False,15,0.11095597594976425,0.9598214030265808,0.09619642794132233,0.9732142686843872,1522.65,0.00020000000949949026
MobileNetV2,True,1,1.1046472787857056,0.5212053656578064,0.5460028648376465,0.8303571343421936,1501.08,0.00020000000949949026
MobileNetV2,True,2,0.6707002520561218,0.7354910969734192,0.2980872094631195,0.9017857313156128,1501.08,0.00020000000949949026
MobileNetV2,True,3,0.5131763815879822,0.8035714030265808,0.26087555289268494,0.9107142686843872,1501.08,0.00020000000949949026
MobileNetV2,True,4,0.3714093565940857,0.8683035969734192,0.2543264925479889,0.8928571343421936,1501.08,0.00020000000949949026
MobileNetV2,True,5,0.40143755078315735,0.8604910969734192,0.24701283872127533,0.9196428656578064,1501.08,0.00020000000949949026
MobileNetV2,True,6,0.3207957446575165,0.8895089030265808,0.1516588032245636,0.9553571343421936,1501.08,0.00020000000949949026
MobileNetV2,True,7,0.3058314025402069,0.8872767686843872,0.20707106590270996,0.9196428656578064,1501.08,0.00020000000949949026
MobileNetV2,True,8,0.27673909068107605,0.9084821343421936,0.10276192426681519,0.9732142686843872,1501.08,0.00020000000949949026
MobileNetV2,True,9,0.2811707556247711,0.9040178656578064,0.09142297506332397,0.9821428656578064,1501.08,0.00020000000949949026
MobileNetV2,True,10,0.2378530651330948,0.9140625,0.1222294494509697,0.9464285969734192,1501.08,0.00020000000949949026
MobileNetV2,True,11,0.23518654704093933,0.9263392686843872,0.11732970923185349,0.9553571343421936,1501.08,0.00020000000949949026
MobileNetV2,True,12,0.2232116162776947,0.9207589030265808,0.04939645156264305,0.9910714030265808,1501.08,0.00020000000949949026
MobileNetV2,True,13,0.1914835423231125,0.9263392686843872,0.06967479735612869,0.9732142686843872,1501.08,0.00020000000949949026
MobileNetV2,True,14,0.19572286307811737,0.9330357313156128,0.09638621658086777,0.9642857313156128,1501.08,0.00020000000949949026
MobileNetV2,True,15,0.21868106722831726,0.9252232313156128,0.11448895931243896,0.9732142686843872,1501.08,0.00020000000949949026
MobileNetV2,False,1,0.744861900806427,0.6997767686843872,0.3751676380634308,0.8392857313156128,1444.2,0.00020000000949949026
MobileNetV2,False,2,0.3345506191253662,0.859375,0.20144234597682953,0.9196428656578064,1444.2,0.00020000000949949026
MobileNetV2,False,3,0.28616786003112793,0.8984375,0.14026817679405212,0.9642857313156128,1444.2,0.00020000000949949026
MobileNetV2,False,4,0.21150614321231842,0.9207589030265808,0.11148162186145782,0.9642857313156128,1444.2,0.00020000000949949026
MobileNetV2,False,5,0.17490558326244354,0.9319196343421936,0.10659229755401611,0.9375,1444.2,0.00020000000949949026
MobileNetV2,False,6,0.18033835291862488,0.9285714030265808,0.1438572257757187,0.9285714030265808,1444.2,0.00020000000949949026
MobileNetV2,False,7,0.19001160562038422,0.9330357313156128,0.17737582325935364,0.9464285969734192,1444.2,0.00020000000949949026
MobileNetV2,False,8,0.220249205827713,0.921875,0.13522854447364807,0.9375,1444.2,0.00020000000949949026
MobileNetV2,False,9,0.1140013262629509,0.9609375,0.13663610816001892,0.9464285969734192,1444.2,0.00020000000949949026
MobileNetV2,False,10,0.09829729795455933,0.9709821343421936,0.09085432440042496,0.9553571343421936,1444.2,0.00020000000949949026
MobileNetV2,False,11,0.10398697853088379,0.9698660969734192,0.10523516684770584,0.9553571343421936,1444.2,0.00020000000949949026
MobileNetV2,False,12,0.09394983947277069,0.9698660969734192,0.09244900196790695,0.9553571343421936,1444.2,0.00020000000949949026
MobileNetV2,False,13,0.08711283653974533,0.9720982313156128,0.0684172660112381,0.9732142686843872,1444.2,0.00020000000949949026
MobileNetV2,False,14,0.0865582749247551,0.9676339030265808,0.07956442981958389,0.9642857313156128,1444.2,0.00020000000949949026
MobileNetV2,False,15,0.07816886901855469,0.9776785969734192,0.06986184418201447,0.9642857313156128,1444.2,0.00020000000949949026
