model_type,use_dropout,epoch,loss,accuracy,val_loss,val_accuracy,duration,learning_rate
MobileNetV1,True,1,1.123102068901062,0.5033482313156128,0.5813117027282715,0.8214285969734192,1515.88,0.00020000000949949026
MobileNetV1,True,2,0.6626319289207458,0.7444196343421936,0.3351903557777405,0.8392857313156128,1515.88,0.00020000000949949026
MobileNetV1,True,3,0.5070751905441284,0.8180803656578064,0.2449355125427246,0.9017857313156128,1515.88,0.00020000000949949026
MobileNetV1,True,4,0.45646098256111145,0.8370535969734192,0.2400543987751007,0.9107142686843872,1515.88,0.00020000000949949026
MobileNetV1,True,5,0.38568928837776184,0.8560267686843872,0.22231444716453552,0.9107142686843872,1515.88,0.00020000000949949026
MobileNetV1,True,6,0.3411661684513092,0.8783482313156128,0.1918802559375763,0.9196428656578064,1515.88,0.00020000000949949026
MobileNetV1,True,7,0.28432366251945496,0.8962053656578064,0.16412219405174255,0.9464285969734192,1515.88,0.00020000000949949026
MobileNetV1,True,8,0.29694727063179016,0.8895089030265808,0.1969616413116455,0.9196428656578064,1515.88,0.00020000000949949026
MobileNetV1,True,9,0.24754950404167175,0.9095982313156128,0.16400477290153503,0.9375,1515.88,0.00020000000949949026
MobileNetV1,True,10,0.2306302934885025,0.9174107313156128,0.1354539841413498,0.9553571343421936,1515.88,0.00020000000949949026
MobileNetV1,True,11,0.22334952652454376,0.9229910969734192,0.12374468892812729,0.9553571343421936,1515.88,0.00020000000949949026
MobileNetV1,True,12,0.23459529876708984,0.9185267686843872,0.13623854517936707,0.9553571343421936,1515.88,0.00020000000949949026
MobileNetV1,True,13,0.25571170449256897,0.9095982313156128,0.16032913327217102,0.9464285969734192,1515.88,0.00020000000949949026
MobileNetV1,True,14,0.1867830604314804,0.9319196343421936,0.17550621926784515,0.9375,1515.88,0.00020000000949949026
MobileNetV1,True,15,0.2052227109670639,0.921875,0.12133797258138657,0.9553571343421936,1515.88,0.00020000000949949026
MobileNetV1,False,1,0.8298100233078003,0.6506696343421936,0.41447487473487854,0.8482142686843872,1522.65,0.00020000000949949026
MobileNetV1,False,2,0.35582295060157776,0.8649553656578064,0.2502853274345398,0.9017857313156128,1522.65,0.00020000000949949026
MobileNetV1,False,3,0.25634488463401794,0.9073660969734192,0.18614324927330017,0.9196428656578064,1522.65,0.00020000000949949026
MobileNetV1,False,4,0.21381564438343048,0.9341517686843872,0.17038334906101227,0.9464285969734192,1522.65,0.00020000000949949026
MobileNetV1,False,5,0.228866308927536,0.9162946343421936,0.25614458322525024,0.9196428656578064,1522.65,0.00020000000949949026
MobileNetV1,False,6,0.18470008671283722,0.9296875,0.1903218924999237,0.9196428656578064,1522.65,0.00020000000949949026
MobileNetV1,False,7,0.17969827353954315,0.9408482313156128,0.15931887924671173,0.9285714030265808,1522.65,0.00020000000949949026
MobileNetV1,False,8,0.14962626993656158,0.9475446343421936,0.14472638070583344,0.9553571343421936,1522.65,0.00020000000949949026
MobileNetV1,False,9,0.1575576514005661,0.9408482313156128,0.12096747010946274,0.9464285969734192,1522.65,0.00020000000949949026
MobileNetV1,False,10,0.1285231113433838,0.9564732313156128,0.14968164265155792,0.9553571343421936,1522.65,0.00020000000949949026
MobileNetV1,False,11,0.12822338938713074,0.9553571343421936,0.11402462422847748,0.9553571343421936,1522.65,0.00020000000949949026
MobileNetV1,False,12,0.12249051779508591,0.9564732313156128,0.08836907148361206,0.9553571343421936,1522.65,0.00020000000949949026
MobileNetV1,False,13,0.09506671130657196,0.9642857313156128,0.10225212574005127,0.9553571343421936,1522.65,0.00020000000949949026
